x,y,z
1,1,1
1.013,1.2587833333333334,0.9848555555555556
1.049403195661111,1.5219427365996383,0.9730174509032281
1.107714581610021,1.7954424955615016,0.9649742549322552
1.1871245583036378,2.0848811550925013,0.9614328993363125
1.287418067934303,2.3956556470981516,0.9633413595568626
1.408906551546459,2.7331002501125314,0.9719293100214259
1.5523784157205653,3.1026045114053518,0.988766792316685
1.7190644202617185,3.509712693255004,1.0158424360896972
1.9106149024388803,3.960205661229299,1.0556640212231747
2.129086046622041,4.460164288806811,1.1113852676370075
2.3769324847050255,5.016011253568245,1.1869637179739092
2.6570033505964084,5.634525353087092,1.2873553978311376
2.972538471262107,6.322818939591044,1.4187524659124684
3.3271605967381683,7.088264486232503,1.5888700414736832
3.724858369453684,7.9383503518234,1.8072873690308748
4.1699530050339755,8.880438217281606,2.08584572486818
4.66703928383511,9.921385247735966,2.4390998676500977
5.220888320305755,11.066982909564121,2.8848097336076783
5.83629561659255,12.321152303492749,3.4444421521705415
6.517853173011458,13.684824847593138,4.143625560370997
7.2696192425918635,15.154431274510483,5.012460433466592
8.094654499973233,16.719928735526505,6.085531039056407
8.994390615377643,18.362327846438415,7.401388816278213
9.967799465965538,20.050757526680922,9.001188569318671
11.010343274186521,21.739250021631133,10.926072245331877
12.112714692991723,23.36366680584625,13.212849177279057
13.259429579828907,24.83952969177325,15.887585384420667
14.427421179936216,26.06193938073646,18.95699121397709
15.58490308756678,26.909138411271055,22.39810408589896
16.690903376577,27.251360039485103,26.147767118508277
17.695978799561477,26.96602810583155,30.094689822755342
18.544616676256652,25.95877551289915,34.07798968709623
19.17962538352652,24.187108434748758,37.89620847923518
19.548339933500753,21.6806016372605,41.328925009948094
19.609785316017994,18.549914813329657,44.1689481614673
19.34128785973984,14.978544057776437,46.25789891241905
18.742772287234864,11.19662184642237,47.514573518279896
17.837411080566653,7.443206588521104,47.946596556888245
16.66834222930635,3.928393094605412,47.64183515414158
15.292384449782032,0.806173673389667,46.74378969236033
13.772472720177344,-1.8363094233156279,45.420334005561315
12.170596033823184,-3.9741886409306466,43.83541241907639
10.542465380251253,-5.630546618937493,42.12965893587589
8.934363793554676,-6.858861912636259,40.41127064673827
7.381993378873742,-7.727092738562979,38.75517809207613
5.910796417354378,-8.305793482318245,37.20730759405705
4.537162013256422,-8.660645437024964,35.79099905051585
3.270026115729544,-8.84866208236898,34.513566743634634
2.1125253012722522,-8.91696634632263,33.371939515924275
1.0635078988517528,-8.903117474648104,32.357010206048095
0.11881318972183552,-8.836218680273793,31.456726095735693
-0.727702080914327,-8.738304179851996,30.658131804407006
-1.483372964200774,-8.625718088471594,29.94862074098711
-2.1561376262999357,-8.510344430297982,29.316628952749696
-2.7541126838521515,-8.400637340265927,28.751958450086693
-3.2852967183887705,-8.302449665672562,28.245868036782657
-3.757371148820695,-8.219681363059395,27.791027745815814
-4.1775733716512296,-8.154777216403698,27.38140068245167
-4.552622470312868,-8.109103638988888,27.012092769771264
-4.888682413845057,-8.083230980037833,26.67919484018329
-5.191351410621808,-8.07714323796807,26.379630867404284
-5.465669015391833,-8.090392597409338,26.1110193050352
-5.716134831012362,-8.122212284063014,25.871550273800782
-5.946734335718136,-8.171598029397297,25.659878840038655
-6.160968627028799,-8.237365935751232,25.4750332422331
-6.361885808879001,-8.318192636777754,25.31633623839009
-6.552112442411389,-8.41264224354024,25.18333749365606
-6.7338839971238045,-8.519183544158444,25.07575493014434
-6.909073625859801,-8.636200191784262,24.993423109661183
-7.079218880075312,-8.761996096893402,24.936246948004218
-7.245546206849372,-8.894797876613364,24.9041593277224
-7.40899324485866,-9.032755960384527,24.89708146342779
-7.570229076091831,-9.173945771826984,24.914885169562925
-7.729672702296986,-9.31637027238228,24.957356480698447
-7.88751010559588,-9.45796503893809,25.024160377424277
-8.043710324291771,-9.596606934183223,25.114806675361415
-8.198041028430854,-9.730127296126426,25.228617437683873
-8.350084114189542,-9.856330405438037,25.364696566524344
-8.499251849323397,-9.973017772108328,25.521902505241663
-8.644804090459475,-10.078018506245142,25.69882522653352
-8.785867053253254,-10.169225696970367,25.893768871019258
-8.92145404489922,-10.244638320942677,26.104741513893746
-9.050488462706378,-10.30240774978389,26.329453548707693
-9.171829221795768,-10.340887445833046,26.565326063845603
-9.284298601522078,-10.358683961224399,26.809510330756595
-9.386712299498829,-10.354706928990362,27.05891911509888
-9.477911263594592,-10.328215406106715,27.310269968435286
-9.556794649447694,-10.278857748161405,27.560139982258782
-9.622353040883443,-10.206702209566277,27.805030730363512
-9.673700892375813,-10.112255704968511,28.041441350329595
-9.710107026105803,-9.996468649260857,28.26594699412626
-9.731021959092784,-9.860724501385127,28.475279291320682
-9.736100861749591,-9.70681352785663,28.666405091346558
-9.725221064673764,-9.53689130504477,28.836599643032805
-9.698493233620926,-9.353423503311422,28.983510562994763
-9.656265612219668,-9.159119439794466,29.105209438643122
-9.599121068171042,-8.956857652335293,29.200228669346913
-9.527867044687204,-8.74960725497279,29.267582100771367
-9.443518884174662,-8.540349035267175,29.306769058858077
-9.347277324868527,-8.332000131836166,29.31776243681668
